Tanggal,Tavg,RH_avg,ff_avg,RR
05-03-2019,29,80,1,0
06-03-2019,27,86,1,6.2
07-03-2019,26.3,86,0,1.5
08-03-2019,29.5,71,1,0.5
09-03-2019,28.1,78,1,0
10-03-2019,28.6,79,1,19.1
11-03-2019,28.6,81,1,2.8
12-03-2019,28.5,78,1,0
13-03-2019,28.6,78,1,3.5
14-03-2019,27.7,80,1,19
15-03-2019,28.2,79,1,0.4
16-03-2019,27.6,82,1,15.5
17-03-2019,27.3,83,1,8.4
18-03-2019,27.2,87,0,25.6
19-03-2019,28.1,83,1,31.8
20-03-2019,28.6,81,1,1.3
21-03-2019,28.5,83,1,0
22-03-2019,29.1,82,1,2.3
23-03-2019,29.3,80,1,3
24-03-2019,27.3,84,0,1.5
25-03-2019,28.9,81,1,
26-03-2019,28.7,80,1,1
27-03-2019,29.1,80,1,2.5
28-03-2019,28.3,83,1,3
29-03-2019,28.6,80,1,5.1
30-03-2019,29.2,79,1,0
31-03-2019,28.8,78,1,0
01-04-2019,28.9,81,1,28
02-04-2019,27.9,86,1,65.5
03-04-2019,29.3,76,1,1
04-04-2019,29,80,1,0
05-04-2019,28.8,78,1,0
06-04-2019,29,78,0,0
07-04-2019,28.8,80,1,1
08-04-2019,29.6,78,1,16
09-04-2019,29.1,78,1,2.3
10-04-2019,28.4,89,1,5.6
11-04-2019,28,88,1,42.5
12-04-2019,28.7,80,1,2.6
13-04-2019,28,89,0,0
14-04-2019,27.2,89,0,9
15-04-2019,28.4,87,0,30.3
16-04-2019,28.7,85,1,4
17-04-2019,29.4,82,1,0
18-04-2019,30.4,76,3,0
19-04-2019,30.7,73,3,0
20-04-2019,30.3,71,2,0
21-04-2019,30.2,76,3,0
22-04-2019,30.5,74,2,0
23-04-2019,30.4,72,3,0
24-04-2019,30.1,72,2,0
25-04-2019,30,75,2,0
26-04-2019,30,72,1,3.2
27-04-2019,29.6,78,1,4.9
28-04-2019,28.6,81,2,0
29-04-2019,27.6,85,1,45.7
30-04-2019,28.4,83,1,28.6
01-05-2019,28.6,82,1,1
02-05-2019,28.7,83,1,10.5
03-05-2019,29.4,79,1,5.1
04-05-2019,29.3,76,1,0
05-05-2019,29.8,72,1,
06-05-2019,29.6,78,1,0
07-05-2019,29.6,76,1,1.6
08-05-2019,29.1,73,1,0
09-05-2019,29.2,73,2,0
10-05-2019,29.3,72,2,0
11-05-2019,29.2,72,2,0
12-05-2019,29,73,2,0
13-05-2019,28.9,73,2,0
14-05-2019,29.8,73,2,0
15-05-2019,30.2,72,3,0
16-05-2019,29.4,74,1,0
17-05-2019,28.4,75,1,0
18-05-2019,28.5,72,2,0
19-05-2019,28.5,70,2,0
20-05-2019,28.6,72,2,0
21-05-2019,29.3,70,2,0
22-05-2019,29.7,71,2,0
23-05-2019,29.7,71,2,0
24-05-2019,29.3,71,2,0
25-05-2019,28.6,70,2,0
26-05-2019,29.1,71,2,0
27-05-2019,29.2,74,2,0
28-05-2019,29.3,74,2,0
29-05-2019,30,72,2,0
30-05-2019,28.6,73,2,0
31-05-2019,28.7,73,2,0
01-06-2019,28.3,69,1,0
02-06-2019,28.4,70,1,0
03-06-2019,28.3,74,1,0
04-06-2019,28.1,76,1,0
05-06-2019,28.8,74,3,0
06-06-2019,28.7,75,2,0
07-06-2019,28.8,76,2,0
08-06-2019,28.7,71,1,0
09-06-2019,28.7,69,2,0
10-06-2019,28.9,68,2,0
11-06-2019,28.8,69,2,0
12-06-2019,28.8,67,1,0
13-06-2019,28.7,73,1,0
14-06-2019,29.4,73,2,0
15-06-2019,29.1,73,2,0
16-06-2019,27.7,72,2,0
17-06-2019,27.4,71,2,0
18-06-2019,27.6,74,2,0
19-06-2019,27.4,70,1,0
20-06-2019,27.4,70,1,0
21-06-2019,27.4,68,2,0
22-06-2019,27.4,75,1,0
23-06-2019,28,69,2,0
24-06-2019,27.6,68,2,0
25-06-2019,27.7,70,2,0
26-06-2019,28.1,70,2,0
27-06-2019,28,70,1,0
28-06-2019,27.3,66,1,0
29-06-2019,26.4,68,2,0
30-06-2019,26.5,66,2,0
01-07-2019,26.7,70,2,0
02-07-2019,27.8,69,1,0
03-07-2019,28.9,69,2,0
04-07-2019,28.6,78,2,0
05-07-2019,28.8,78,2,1.2
06-07-2019,27.9,74,3,0.5
07-07-2019,28.4,68,2,0
08-07-2019,27.4,68,2,0
09-07-2019,26.7,70,2,0
10-07-2019,27.6,68,2,0
11-07-2019,27.5,70,2,0
12-07-2019,27.8,68,2,0
13-07-2019,27.6,68,2,0
14-07-2019,25.6,71,2,0
15-07-2019,26.7,65,2,0
16-07-2019,27.2,66,2,0
17-07-2019,27,69,2,0
18-07-2019,28.3,64,2,0
19-07-2019,28.1,72,2,0
20-07-2019,28.7,72,3,0
21-07-2019,28.4,70,2,0
22-07-2019,27.6,67,2,0
23-07-2019,27.7,72,2,0
24-07-2019,27.7,70,2,0
25-07-2019,26.9,69,2,0
26-07-2019,28.2,69,2,0
27-07-2019,27.6,73,2,0
28-07-2019,27.8,70,2,0
29-07-2019,27.2,67,2,0
30-07-2019,27.7,69,2,0
31-07-2019,27.1,66,2,0
01-08-2019,27.3,67,2,0
02-08-2019,27.8,68,2,0
03-08-2019,26.6,69,2,0
04-08-2019,27.2,63,2,0
05-08-2019,26.7,64,2,0
06-08-2019,26.8,63,2,0
07-08-2019,26.8,63,2,0
08-08-2019,27,65,2,0
09-08-2019,27.7,66,3,0
10-08-2019,27.8,64,3,0
11-08-2019,27.6,70,2,0
12-08-2019,27.9,70,4,0
13-08-2019,29.3,68,4,0
14-08-2019,29.1,68,3,0
15-08-2019,28.5,72,3,0
16-08-2019,27.8,70,2,0
17-08-2019,27.7,66,2,0
18-08-2019,27.7,62,2,0
19-08-2019,27.9,63,2,0
20-08-2019,28.7,61,2,0
21-08-2019,28.8,68,3,0
22-08-2019,29.4,66,2,0
23-08-2019,27.7,68,2,0
24-08-2019,28.1,67,2,0
25-08-2019,28.3,68,2,0
26-08-2019,28.9,66,2,0
27-08-2019,28.6,67,2,0
28-08-2019,27.8,66,3,0
29-08-2019,27.8,68,3,0
30-08-2019,27.5,66,3,0
31-08-2019,28,64,3,0
